Longitude,Latitude,building_count_50,building_count_100,building_count_150,building_count_200,building_count_250,building_count_300,building_count_350,building_count_400,building_count_450,building_count_500,building_count_550,building_count_600,building_count_650,building_count_700,building_count_750,building_count_800,building_count_850,building_count_900,building_count_950,building_count_1000
-73.90916667,40.81310667,1,4,6,11,13,26,37,56,71,86,108,125,145,159,177,190,211,238,271,298
-73.90918667,40.813045,1,4,6,11,16,26,38,53,70,85,112,126,145,157,174,188,208,234,267,293
-73.909215,40.81297833,1,3,6,11,21,26,39,48,70,87,106,124,144,155,171,185,211,234,269,295
-73.90924167,40.81290833,1,3,5,10,22,29,39,45,68,88,107,125,143,156,170,186,206,231,269,295
-73.90925667,40.812845,1,2,5,11,21,30,38,46,65,88,106,127,143,156,170,186,202,231,264,294
-73.90928,40.81277667,1,2,5,12,21,31,37,47,60,84,108,121,141,154,170,183,205,232,261,294
-73.90931167,40.81271,2,2,5,14,22,32,36,47,60,83,103,124,139,153,169,183,206,229,257,290
-73.90934,40.81264333,2,3,5,13,20,32,35,45,60,79,103,122,136,149,169,183,205,226,255,285
-73.90936333,40.81256167,2,3,5,13,22,28,36,44,60,74,100,122,128,152,166,187,206,224,255,276
-73.90938333,40.812485,2,3,6,14,22,28,36,48,61,72,102,119,128,151,167,189,205,226,253,272
-73.90939333,40.81240333,3,3,7,14,20,29,35,49,59,75,98,118,126,148,165,187,206,227,248,269
-73.90942,40.81233,3,4,8,14,19,29,37,47,60,75,90,114,128,143,169,187,206,225,244,269
-73.90945333,40.81223667,3,6,10,13,17,28,39,48,58,77,88,112,125,144,166,183,205,227,245,267
-73.90947667,40.81216333,3,7,10,13,17,28,39,47,59,76,87,111,125,142,164,185,204,229,246,262
-73.90949333,40.81209333,3,7,9,14,18,28,39,49,60,74,87,105,124,144,160,185,203,230,243,260
-73.90952167,40.81203167,3,8,10,14,17,29,38,50,62,72,89,101,124,144,160,185,202,228,244,262
-73.90953,40.81198167,3,8,10,14,17,30,39,49,62,70,87,100,123,143,160,182,202,229,242,262
-73.90954833,40.81194,4,8,9,14,17,29,39,50,60,68,87,99,121,142,160,183,203,228,242,267
-73.90956333,40.8119,4,7,9,13,17,29,40,50,60,68,87,98,120,140,158,178,203,227,240,266
-73.90958167,40.81186333,4,7,9,13,19,28,39,51,60,68,86,100,119,140,159,177,203,226,240,265
-73.9096,40.81181167,5,7,9,14,22,29,38,53,59,69,85,101,119,139,159,178,202,228,242,266
-73.909615,40.81175333,5,7,9,14,23,30,41,50,57,68,82,99,118,137,160,177,201,225,243,266
-73.90963167,40.8117,4,6,9,14,23,29,39,50,57,68,82,99,117,136,156,176,201,224,245,270
-73.90964667,40.81164333,3,6,9,14,22,29,40,49,55,69,82,98,118,132,157,175,195,224,244,271
-73.90966167,40.81157833,2,6,8,17,23,30,43,49,54,67,83,100,119,131,156,173,199,225,242,272
-73.909675,40.81151,2,6,8,17,23,31,43,48,54,66,82,97,118,131,154,172,197,224,244,271
-73.90969333,40.81144167,2,6,8,17,22,31,42,47,56,65,84,99,118,133,148,170,198,220,247,270
-73.909705,40.81137667,2,4,8,17,23,31,42,47,57,67,85,100,118,132,147,170,195,219,247,270
-73.90971333,40.81132,2,3,10,17,23,33,41,46,57,66,83,101,117,131,145,169,196,219,245,272
-73.909745,40.81123,2,3,11,18,25,32,38,48,56,66,81,100,114,129,145,164,198,220,241,275
-73.909755,40.81120333,1,3,10,17,26,32,38,48,57,65,83,102,113,129,145,161,198,219,241,274
-73.90977,40.81116167,1,3,7,16,25,32,38,49,58,65,83,102,112,129,145,162,196,219,243,274
-73.90978667,40.81111833,2,4,7,16,26,32,39,49,57,66,81,102,114,130,145,162,195,216,244,271
-73.90980833,40.81106,2,4,6,17,26,31,38,49,57,65,82,98,112,128,142,164,192,214,244,273
-73.909875,40.810865,2,4,7,16,25,30,40,48,57,67,81,95,109,130,144,164,186,212,245,271
